,0,1,2,3
0,정호영,8.121961865907743,"['국민의힘', '합당', '조국', '선언', '청문회', '국민의', '달라', '당선인', '의혹', '판단']","장제원 대통령 당선인 비서실장이 18일 오전 출근길에 기자들과 만나 정호영 보건복지부 장관 후보자를 둘러싼 '아빠 찬스' 논란이 조국 전 법무부 장관 사태를 연상시킨다는 지적에 ""뭐가 같냐""고 말했다."
1,국민,3.193908062930671,"['홍준표', '시장', '싫다', '언급', '文대통령', '정부', '공천', '사람', '서울', '받을']",no summarization
2,민주,3.1014946413000692,"['이은해', '양이원영', '검거', '음모론', '누리꾼', '안철수', '논란', '후보', '이준석', '인수위']","지난 18일, 문재인 대통령이 검찰총장의 사표를 반려하면서 검찰총장과 면담을 가진 배경에는 임기 말 더불어민주당과 검찰이 강하게 대치한 국면을 중재로 풀어보겠다는 의지가 담긴 것으로 보인다."
3,검수완박,2.6864666241181294,"['민주당', '민주', '정부', '부동산', '발표', '한동훈', '후보', '정책', '김재원', '출범']",김오수 검찰총장이 더불어민주당의 '검수완박'(검찰 수사권 완전 박탈) 법안 발의와 김오수 검찰총장의 사의 표명으로 고조되던 갈등에서 한발짝 물러나 김 총장을 중심으로 국회에서 진행 중인 논의에 참여하겠다는 뜻을 밝혔다.
4,조국,2.562460148562031,"['장제원', '뭐가', '같나', '안철수', '당선인', '위조했나', '의혹', '이준석', '조작했나', '민주당']",no summarization
5,김오수,2.299266597410883,"['사표', '면담', '반려', '대통령', '총장', '검찰', '검수완박', '文대통령', '임은정', '오후']","김오수 검찰총장이 문재인 대통령이 자신의 사직서를 반려한 것과 관련해 ""임명권자의 의사를 존중하는 것이 필요하다""고 밝히며 사실상 사퇴 의사에 대해 철회한 것으로 풀이된다."
6,국힘,2.0854420908074056,"['요구', '공개', '한덕수', '자진사퇴', '거취', '국당', '고민정', '안철수', '정호영', '송영길']",윤석열 당선인 측은 조국 전 법무부 장관에 대한 윤석열 당시 검찰총장의 수사를 언급하며 '내로남불' 아니냐고 쏘아붙였으며 국민의힘 내에서도 '자진사퇴' 이야기가 공개적으로 터져 나왔다.
7,의혹,1.9874746189632004,"['공개', '정부', '총장', '발사', '당선인', '전술핵', '참석', '본격화', '고민정', '대통령']","이창용 한국은행 총재 후보자가 지난 2002년, 서울 중구 신당동 주택을 거래하면서 실제 거래 가격이 아닌 허위 가격으로 계약한 이른바 '다운계약서'를 작성해 거래한 것으로 드러났다."
8,경선,1.9279319030461206,"['김진태', '황상무', '강원지사', '국힘', '공천', '보류', '사과', '발언', '후보', '단수공천']",no summarization
9,후보,1.8173871312832017,"['무관', '대통령', '퇴거', '당선인', '인수위', '한덕수', '취임식', '시한', '참석', '민주']",no summarization
10,한동훈,1.7994653859759926,"['진중권', '마음', '졌다', '하겠지', '한덕수', '처럼', '감싼', '논란', '민주당', '정호영']","한동훈 법무부 장관 후보자는 과거 부친으로부터 상속받은 토지와 관련해 농지법을 위반했다는 지적이 나오자 선친이 텃밭을 일구고 생활하였다고 말하며, 농사를 짓는 사람만이 농지를 소유할 수 있다는 ‘경자유전(耕者有田)의 원칙’을 어겼다는 의혹 제기에 즉각 반박에 나섰다."
11,종합,1.700577448838791,"['철회', '경선', '하태경', '수사', '지명', '병역', '고민정', '특례', 'bts', '안철수']",no summarization
12,안철수,1.5956130804061721,"['장제원', '조국', '뭐가', '같나', '당선인', '위조했나', '의혹', '이준석', '조작했나', '민주당']",no summarization
13,논란,1.5170234648007188,"['국민', '민주당', '커지', '사퇴', '윤심', '장제원', '국민의', '종합', '뭐가', '시장']",no summarization
14,선언,1.5028195775053481,"['합당', '국민의힘', '국민의', '이준석', '안철수', '공식', '당명은', '공동', '초석', '국당']",no summarization
15,청문,1.4685438858357238,"['예고', '할까', '취임식', '이게', '맞아', '컷오프', '독주', '정국', '국회', '에도']",no summarization
16,합당,1.4580634035567215,"['선언', '국민의힘', '국민의', '이준석', '안철수', '공식', '당명은', '공동', '초석', '국당']",no summarization
17,사표,1.410480634038192,"['김오수', '면담', '반려', '대통령', '총장', '검찰', '검수완박', '文대통령', '임은정', '오후']",no summarization
18,김진태,1.4036050306327366,"['경선', '황상무', '강원지사', '국힘', '공천', '보류', '사과', '발언', '후보', '단수공천']",국민의힘 강원도지사 공천에서 배제된 김진태 전 의원이 과거 5.18 폄훼 논란에 대해 처음으로 공식 사과하였지만 과거 5·18 발언과 불교 관련 발언에 있어서 부적절함이 있었다며 국민 기망쇼를 기획한 전두환과 지만원의 그림자가 짙게 느껴진다.
19,검찰,1.3904548494804692,"['총장', '임은정', '국민', '청원', '요구', '수사', '이준석', '안철수', '국힘', '공개']",no summarization
